(0.0,24.617219754093668)
(-0.04801289836810366,24.489226704909616)
(-0.09419557072963461,24.36189913382598)
(-0.13857396906306202,24.235233580802504)
(-0.18117373950127247,24.10922660378883)
(-0.2220202256990249,23.983874778630952)
(-0.261138472164416,23.859174698978173)
(-0.2985532275547351,23.735122976190535)
(-0.3342889479370843,23.61171623924674)
(-0.3683698000141344,23.488951134652538)
(-0.4008196643153854,23.366824326349604)
(-0.4316621383542942,23.245332495624886)
(-0.4609205397516296,23.124472341020407)
(-0.4886179093254112,23.00424057824357)
(-0.5147770141477838,22.884633940077894)
(-0.5394203505691761,22.76564917629423)
(-0.5625701472100902,22.647283053562447)
(-0.5842483679208602,22.529532355363568)
(-0.6044767147097212,22.412393881902354)
(-0.6232766306395205,22.295864450020364)
(-0.6406693026934034,22.17994089310944)
(-0.656675664609799,22.064620061025668)
(-0.6713163996870328,21.949898820003774)
(-0.6846119435578837,21.835774052571963)
(-0.696582486934404,21.722242657467206)
(-0.7072479783233167,21.609301549550956)
(-0.7166281267122987,21.49694765972533)
(-0.72474240422746,21.38517793484969)
(-0.73161004876232,21.27398933765769)
(-0.7372500665785847,21.163378846674725)
(-0.7416812348790193,21.053343456135842)
(-0.7449221043527138,20.943880175904052)
(-0.7469910016930318,20.834986031389068)
(-0.7479060320885308,20.726658063466488)
(-0.7476850816871395,20.618893328397366)
(-0.7463458200338753,20.51168889774823)
(-0.7439057024823804,20.4050418583115)
(-0.7403819725805545,20.298949312026323)
(-0.7357916644305557,20.193408375899825)
(-0.7301516050234427,20.088416181928757)
(-0.7234784165487249,19.98396987702157)
(-0.7157885186790854,19.880066622920875)
(-0.7070981308305404,19.776703596126325)
(-0.6974232743982931,19.673877987817878)
(-0.6867797749685408,19.571587003779477)
(-0.6751832645064879,19.469827864323115)
(-0.6626491835208171,19.368597804213305)
(-0.6491927832048673,19.267894072591925)
(-0.634829127554765,19.167713932903474)
(-0.6195730954647524,19.06805466282071)
(-0.6034393827999541,18.968913554170665)
(-0.5864425044468199,18.87028791286106)
(-0.5685967963414807,18.772175058807083)
(-0.5499164174762513,18.674572325858573)
(-0.5304153518845103,18.577477061727567)
(-0.5101074106041869,18.480886627916217)
(-0.4890062336200808,18.384798399645092)
(-0.46712529178523843,18.289209765781866)
(-0.4444778887216082,18.194118128770345)
(-0.4210771627001934,18.099520904559885)
(-0.3969360885009201,18.00541552253518)
(-0.37206747925243483,17.911799425446397)
(-0.34648398825204413,17.81867006933969)
(-0.320198110766007,17.72602492348807)
(-0.2932221858103874,17.63386147032263)
(-0.26556839791267345,17.542177205364137)
(-0.23724877885436668,17.45096963715497)
(-0.20827520939474284,17.36023628719142)
(-0.17865942097598403,17.269974689856337)
(-0.14841299740987943,17.180182392352126)
(-0.11754737654628959,17.0908569546341)
(-0.08607385192356815,17.00199594934416)
(-0.05400357440113175,16.913596961744854)
(-0.021347553774367423,16.825657589653744)
(0.011883339627935148,16.73817544337813)
(0.0456783733634413,16.651148145650108)
(0.08002695131323587,16.564573331561984)
(0.11491861213571261,16.478448648501995)
(0.1503430277372097,16.39277175609038)
(0.1862900017592131,16.307540326115785)
(0.22274946808195245,16.222752042472003)
(0.25971148934421545,16.138404601095015)
(0.2971662554792086,16.054495709900404)
(0.33510408226629423,15.971023088721047)
(0.373515409898435,15.887984469245167)
(0.4123908015651796,15.805377594954686)
(0.4517209420510243,15.72320022106391)
(0.49149663634898755,15.641450114458527)
(0.5317088082892355,15.56012505363492)
(0.5723484991825992,15.479222828639804)
(0.6134068664788255,15.398741241010173)
(0.6548751824394039,15.318678103713552)
(0.6967448328248166,15.23903124108857)
(0.7390073155960564,15.15979848878584)
(0.7816542396302625,15.080977693709142)
(0.8246773234503233,15.00256671395691)
(0.8680683939682982,14.924563418764032)
(0.9118193852425109,14.84696568844395)
(0.9559223372481704,14.769771414331052)
(1.0,14.693616716295198)
